city_id,dt,visibility,pop,temp,temp_min,temp_max,pressure,humidity,clouds,wind_speed,rain,weather_main,weather_description,weather_icon,weather_id
1,18/04/2025 12:00,10000,100,10.19,10.19,10.19,1008,91,100,8.42,1.16,Rain,légère pluie,10d,500
1,18/04/2025 15:00,10000,100,10.56,10.56,11.3,1007,91,100,7.14,0.6,Rain,légère pluie,10d,500
1,18/04/2025 18:00,10000,100,11.02,11.02,11.43,1005,88,100,7.06,0.87,Rain,légère pluie,10d,500
1,18/04/2025 21:00,10000,20,11.33,11.33,11.33,1002,87,100,7.21,0.12,Rain,légère pluie,10n,500
1,19/04/2025 00:00,10000,28,11.33,11.33,11.33,1002,95,100,7.03,0.52,Rain,légère pluie,10n,500
1,19/04/2025 03:00,10000,100,11.55,11.55,11.55,1001,95,100,5.6,1.17,Rain,légère pluie,10n,500
1,19/04/2025 06:00,10000,100,11.89,11.89,11.89,1001,92,100,5.43,0.17,Rain,légère pluie,10d,500
1,19/04/2025 09:00,10000,0,13.32,13.32,13.32,1003,84,98,4.56,,Clouds,couvert,04d,804
1,19/04/2025 12:00,10000,20,15.4,15.4,15.4,1002,75,98,2.25,0.21,Rain,légère pluie,10d,500
1,19/04/2025 15:00,10000,100,14.35,14.35,14.35,1002,87,100,2.08,1.81,Rain,légère pluie,10d,500
1,19/04/2025 18:00,10000,100,12.51,12.51,12.51,1002,92,100,2.36,1.6,Rain,légère pluie,10d,500
1,19/04/2025 21:00,10000,53,11.64,11.64,11.64,1002,97,100,3.11,0.42,Rain,légère pluie,10n,500
1,20/04/2025 00:00,10000,100,10.91,10.91,10.91,1001,97,100,4.4,1.15,Rain,légère pluie,10n,500
1,20/04/2025 03:00,10000,25,10.06,10.06,10.06,1000,98,97,3.89,0.1,Rain,légère pluie,10n,500
1,20/04/2025 06:00,10000,20,10.21,10.21,10.21,1000,97,91,3.73,0.12,Rain,légère pluie,10d,500
1,20/04/2025 09:00,10000,0,9.61,9.61,9.61,1002,84,92,6.48,,Clouds,couvert,04d,804
1,20/04/2025 12:00,10000,0,10.44,10.44,10.44,1002,75,96,3.96,,Clouds,couvert,04d,804
1,20/04/2025 15:00,10000,0,10.65,10.65,10.65,1001,79,100,4.13,,Clouds,couvert,04d,804
1,20/04/2025 18:00,10000,20,10.81,10.81,10.81,1002,84,97,4.27,0.14,Rain,légère pluie,10d,500
1,20/04/2025 21:00,10000,0,7.85,7.85,7.85,1005,93,22,3.12,,Clouds,peu nuageux,02n,801
1,21/04/2025 00:00,10000,20,9.15,9.15,9.15,1005,95,27,3.85,0.15,Rain,légère pluie,10n,500
1,21/04/2025 03:00,10000,100,9.55,9.55,9.55,1007,88,100,6.63,0.83,Rain,légère pluie,10n,500
1,21/04/2025 06:00,10000,78,8.85,8.85,8.85,1009,92,100,3.38,,Clouds,couvert,04d,804
1,21/04/2025 09:00,10000,26,11.61,11.61,11.61,1010,87,100,5.75,0.22,Rain,légère pluie,10d,500
1,21/04/2025 12:00,10000,36,12.89,12.89,12.89,1012,74,100,6.32,0.35,Rain,légère pluie,10d,500
1,21/04/2025 15:00,10000,70,12.15,12.15,12.15,1013,76,100,4.34,0.61,Rain,légère pluie,10d,500
1,21/04/2025 18:00,10000,50,11.09,11.09,11.09,1014,81,100,0.71,0.1,Rain,légère pluie,10d,500
1,21/04/2025 21:00,10000,0,8.06,8.06,8.06,1016,86,96,2.32,,Clouds,couvert,04n,804
1,22/04/2025 00:00,10000,0,6.65,6.65,6.65,1016,92,70,3.26,,Clouds,nuageux,04n,803
1,22/04/2025 03:00,10000,0,6.92,6.92,6.92,1015,95,95,3.02,,Clouds,couvert,04n,804
